title,location,company
Analista de sistemas - Medellín,"Medellín, Antioquia, Colombia",Eficacia
Datamarshall - Analista de datos // Indispensable manejo de power BI y Excel,"Bogota, D.C., Capital District, Colombia",BRM S.A.S
LICENCIADO EN TECNOLOGÍA E INFORMATICA,"Bogota, D.C., Capital District, Colombia",Colegio Franciscano del Virrey Solís
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35581)",Colombia,Bancolombia
Técnico de Soporte Nivel 1 - 21622,"Medellin, Antioquia, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
ETL Developer,Colombia,Ranger Technical Resources
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática (35254)",Colombia,Bancolombia
Especialista en Bases de Datos y Aplicaciones,"Medellín, Antioquia, Colombia",E-Global S.A.
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Afines (35575)",Colombia,Bancolombia
Analista de Seguridad Informática,"Medellín, Antioquia, Colombia",Complementos Humanos
"Aprendiz Universitario en Ingeniería Financiera, Ingeniería de Sistemas, Carreras Afines (35564)",Colombia,Bancolombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Afines (36067)",Colombia,Bancolombia
ADMINISTRADOR DE REDES Y SISTEMAS,"Bogota, D.C., Capital District, Colombia",UNIR - La Universidad en Internet
Project Manager,Colombia,HunTI Consultores
Líder de infraestructura Hibrido Bogotá,"Bogota, D.C., Capital District, Colombia",MAINSOFT LTDA
Ingeniero de seguridad Informatica,"Cali, Valle del Cauca, Colombia",Organización Carvajal
21002-Técnico de Soporte nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
Analista de Requerimientos SST - Bogota,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Desarrollador(a) Java Labor en Remoto,"Bogota, D.C., Capital District, Colombia",COOMEVA
"Aprendiz Universitario en Ingeniería de Software, Ingeniería en Analítica de datos, Afines (35639)",Colombia,Bancolombia
Líder de desarrollado de Software,"Medellín, Antioquia, Colombia",Complementos Humanos
Asesor/a II Especialista Análisis y Respuesta,"Bogota, D.C., Capital District, Colombia",Grupo Energía de Bogotá
Analista de Desarrollo SQL Junior,"Medellín, Antioquia, Colombia",Complementos Humanos
TÉCNICO DE SOPORTE Y TECNOLOGÍA,"Bogota, D.C., Capital District, Colombia",UNIR - La Universidad en Internet
TECNICO EN EL AREA DE SISTEMAS,"Villavicencio, Meta, Colombia",Gestión Informática y Tecnológica de Colombia GIT S.A.S
TECNICO EN SISTEMAS - FACATATIVA,"Cundinamarca, Colombia",Gestión Informática y Tecnológica de Colombia GIT S.A.S
Analista de implementación y soporte,"Medellín, Antioquia, Colombia",Complementos Humanos
Ingeniero de proyectos agiles,"Bogota, D.C., Capital District, Colombia",Colfondos S.A.
Asistente comercial,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Analista de Contenidos UX,"Bogota, D.C., Capital District, Colombia",Mercado Libre
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Software, Carreras Afines (35848)",Colombia,Bancolombia
Director de Sistemas,"Barranquilla, Atlántico, Colombia",Alentti
Analista de Soporte Técnico - SQL,"Medellín, Antioquia, Colombia",E-Global S.A.
Auxiliar de Informática,"Medellín, Antioquia, Colombia",Blue Door Talent Development
Administrador de Base de Datos SQL Server - Medellin,"Medellín, Antioquia, Colombia",Magnum Logistics S.A.S
"Técnico, Tecnólogo o Profesional en Informática, Sistemas, Software o afines","Bogota, D.C., Capital District, Colombia",Messina Market & Catering
aprendiz etapa poductiva área informatica urgente,"Bogota, D.C., Capital District, Colombia",ManpowerGroup
Auditor Senior Informático,"Bogota, D.C., Capital District, Colombia",KPMG Colombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Procesos, Carreras Afines (35836)",Colombia,Bancolombia
20757-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
Practicante Universitario 2024 - Primer semestre (Perfiles Digitales),"Medellin, Antioquia, Colombia",Tigo Colombia
Analista II - Configuración y Evolución de Aplicativos,Colombia,Bancolombia
Auxiliar De Infraestructura - Cali,"Cali, Valle del Cauca, Colombia",Banco W
20756-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
Director/a de Tecnología,Colombia,Michael Page
Talento B - Ciberseguridad,Colombia,Bancolombia
Técnico QA Tester Junior - Home Office,"Bogota, D.C., Capital District, Colombia",Esinergia SAS
Técnico de soporte computo,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35633)",Colombia,Bancolombia
Aprendiz de Sistemas o Informática - Carrera técnica o tecnología,"Cali, Valle del Cauca, Colombia",COOMEVA
"Analista de CRM y Bases de Datos - Bogotá, Colombia","Bogota, D.C., Capital District, Colombia",Tecnología Informática
Analista II - Configuración y Evolución de Aplicativos,Colombia,Bancolombia
Analista Implementación Soluciones - Conectividad,"Medellin, Antioquia, Colombia",ARUS Oficial
20756-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
Especialista de Bases de Datos - SQL Server y MongoBD,"Medellín, Antioquia, Colombia",E-Global S.A.
Auxiliar de Almacén,"Puerto Tejada, Cauca, Colombia",Soluciones Inmediatas S.A.S
Director/a de Tecnología,Colombia,Michael Page
Ingeniero pre- venta -hibrido en Bogotá,"Bogota, D.C., Capital District, Colombia",MAINSOFT LTDA
Talento B - Ciberseguridad,Colombia,Bancolombia
"Técnico, Tecnólogo o Estudiante de últimos semestre en Informática, Sistemas, Software o afines","Bogota, D.C., Capital District, Colombia",Messina Market & Catering
ETL ADF Developer (PL489),Colombia,Paralucent
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35633)",Colombia,Bancolombia
Aprendiz de Sistemas o Informática - Carrera técnica o tecnología,"Cali, Valle del Cauca, Colombia",COOMEVA
Ingeniero de seguridad Informatica,"Cali, Valle del Cauca, Colombia",Organización Carvajal
"Aprendiz Universitario en Ingeniería de Sistemas, Informática, Estadística o Carreras Afines (36871)",Colombia,Bancolombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35579)",Colombia,Bancolombia
Analista de Procesos de ITIL,"Medellín, Antioquia, Colombia",E-Global S.A.
Analista de Soporte Técnico - SQL,"Medellín, Antioquia, Colombia",E-Global S.A.
Data Engineer (Informatica PowerCenter),"Colombia, Caldas, Colombia",Keyrus
Consultor de Seguridad SAP Junior con Conocimientos en Fiori,"Envigado, Antioquia, Colombia",724BC CONSULTING S.A.S
Profesional Universitario Administración Operativa Banca Electrónica,"Bogota, D.C., Capital District, Colombia",Banco Agrario de Colombia
DESARROLLADOR,"Medellin, Antioquia, Colombia",Magneto Empleos
"Ingeniero Sistemas, eléctrico o afines - Líder Técnico","Bogota, D.C., Capital District, Colombia",KRESTON COLOMBIA
Desarrollador Front-End,"Bogota, D.C., Capital District, Colombia",Andes Global Trading LLC
Capacitador / formador,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
aprendiz etapa poductiva área informatica urgente,"Bogota, D.C., Capital District, Colombia",ManpowerGroup
Arquitecto de Soluciones - Colombia,Colombia,SETI S.A.S
Desarrollador Back-end,Colombia,Sophos Solutions
Practicante Sistemas,"Bogota, D.C., Capital District, Colombia",Gvs Colombia Cali
Diseñador de procesos (Hibrido-Medellín),"Perímetro Urbano Medellín, Antioquia, Colombia",PersonalSoft
Auditor de Sistemas,"Bogota, D.C., Capital District, Colombia",ReclutaPro Colombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36861)",Colombia,Bancolombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36097)",Colombia,Bancolombia
INGENIERO JUNIOR DESARROLLO JAVA,"Bogota, D.C., Capital District, Colombia",ACIERTA HEADHUNTER
Auditor interno de TI,"Bogota, D.C., Capital District, Colombia",PwC Colombia
Analista de CRM,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Solicitud 2023-29 / Ingeniero Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Michael Page
TECNICO EN EL AREA DE SISTEMAS,"Villavicencio, Meta, Colombia",Gestión Informática y Tecnológica de Colombia GIT S.A.S
Auxiliar de Informática,"Medellín, Antioquia, Colombia",Samein
Jefe de Soluciones de Negocio - 21552,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
Líder de desarrollado de Software,"Medellín, Antioquia, Colombia",Complementos Humanos
Desarrollador Front-End,"Bogota, D.C., Capital District, Colombia",Andes Global Trading LLC
Técnico de soporte computo,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
TECNICO EN SISTEMAS - GALAPA,"Galapa, Atlántico, Colombia",Gestión Informática y Tecnológica de Colombia GIT S.A.S
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35577)",Colombia,Bancolombia
Analista calidad y procesos,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Analista de Calidad y Pruebas Senior - 21365,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
"Aprendiz Universitario en Ingeniería de Sistemas, Informática, Industrial o Afines (37053)",Colombia,Bancolombia
Auxiliar de soporte técnico Bogotá y Medellín,"Medellín, Antioquia, Colombia",E-Global S.A.
Desarrollador Front-end,Colombia,Sophos Solutions
Analista Bi Junior Bogotá,"Bogota, D.C., Capital District, Colombia",Tuplex EOOD (Туплекс ЕООД)
Gerente de cuenta banca oficial - Regional Occidente,"Cali, Valle del Cauca, Colombia",Banco Agrario de Colombia
Analista de Calidad,"Siberia, Cundinamarca, Colombia",PREFABRICADOS CONCRETARTE SAS
Practicante Universitario 2024 - Primer semestre (Perfiles Digitales),"Bogota, D.C., Capital District, Colombia",Tigo Colombia
Auditor en pruebas de seguridad informática,"Bogota, D.C., Capital District, Colombia",KPMG Colombia
Practicante Desarrollador Web Frontit,"Bogota, D.C., Capital District, Colombia",SGS
TECNICOS DE SOPORTE,"Malambo, Atlántico, Colombia",Gestión Informática y Tecnológica de Colombia GIT S.A.S
Auxiliar De Infraestructura - Cali,"Cali, Valle del Cauca, Colombia",Banco W
"Analista de Información 1 año de Experiencia, Excel Avanzado. Bogotá.","Bogota, D.C., Capital District, Colombia",Eficacia
Auxiliar de Sistemas,"Medellin, Antioquia, Colombia",Magneto Empleos
Auxiliar de soporte técnico - Mesa de ayuda. Bogotá,"Bogota, D.C., Capital District, Colombia",E-Global S.A.
Analista de Soporte TI,"Sabaneta, Antioquia, Colombia",Crystal S.A.S
Lider de Ciencia de Datos,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Docentes programa Desarrollo de Software módulo de Programación y Web 345397.50,"Medellín, Antioquia, Colombia",CESDE
SAP specialist.,"Bogota, D.C., Capital District, Colombia",Ozeol.com
