title,location,company
Desarollador WEB,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Docente Lenguajes de Programación - Bogotá CET,"Bogota, D.C., Capital District, Colombia",Colsubsidio
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Cartagena, Bolívar, Colombia","Seguros, tendencias y riesgos SURA"
Analista de Pruebas,"Bogota, D.C., Capital District, Colombia",ADA S.A.
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Villavicencio, Meta, Colombia","Seguros, tendencias y riesgos SURA"
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Florencia, Caquetá, Colombia","Seguros, tendencias y riesgos SURA"
Analista Implementación Soluciones - Conectividad,"Cali, Valle del Cauca, Colombia",ARUS Oficial
Diseñador Web Gráfico,"Bogota, D.C., Capital District, Colombia",ADA S.A.
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36861)",Colombia,Bancolombia
Capacitador organizacional,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Quibdó, Chocó, Colombia","Seguros, tendencias y riesgos SURA"
Analista de Tecnología UX - Colombia,Colombia,Rawson BPO
Analista de Soporte Nivel 2-3 - Conectividad,"Medellín, Antioquia, Colombia",DIVIX S.A.S.
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,Colombia,"Seguros, tendencias y riesgos SURA"
Analista de sistemas - Medellín,"Medellín, Antioquia, Colombia",Eficacia
Auxiliar Administrativo / Auxiliar Administrativa,Colombia,Bancolombia
"Blue Journey, programa de estudiantes Técnicos 1er Sem 2024 Colombia","Bogota, D.C., Capital District, Colombia",IBM
Analista calidad y procesos,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Dinamizador/a municipal 1626053309.57,"Cocorná, Antioquia, Colombia",Universidad Católica de Oriente
Analista Junior QA,"Bogota, D.C., Capital District, Colombia",CCxC – Consulting Center for Competitiveness
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Medellin, Antioquia, Colombia","Seguros, tendencias y riesgos SURA"
TECNICO EN SISTEMAS - GALAPA,"Galapa, Atlántico, Colombia",Gestión Informática y Tecnológica de Colombia GIT S.A.S
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Procesos, Carreras Afines (35836)",Colombia,Bancolombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36582)",Colombia,Bancolombia
TÉCNICO DE SOPORTE Y TECNOLOGÍA,"Bogota, D.C., Capital District, Colombia",UNIR - La Universidad en Internet
Ingeniero de Ciberseguridad - Colombia,Colombia,BBVA en Colombia
"Ingeniero de Datos Junior - Bogotá, Colombia","Bogota, D.C., Capital District, Colombia",CINTE Colombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35576)",Colombia,Bancolombia
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Cali, Valle del Cauca, Colombia","Seguros, tendencias y riesgos SURA"
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36859)",Colombia,Bancolombia
Recepcionista,"Bogota, D.C., Capital District, Colombia",Grupo Alianza - Gestión Efectiva del Talento Humano
Profesores/as en Informática y Tecnología Clases Online,"Bogota, D.C., Capital District, Colombia",Apprentus Ltd
"Aprendiz Universitario en Ingeniería de Sistemas, Industrial, Matemática, Estadística (36865)",Colombia,Bancolombia
Analista De Calidad Software,"Medellin, Antioquia, Colombia",ARUS Oficial
Tecnico en sistemas con exp en mesa de ayuda / soporte técnico - Bogotá,"Bogota, D.C., Capital District, Colombia",Dharmachakra
ETL ADF Developer (PL489),Colombia,Paralucent
Aprendiz Técnico o Tecnólogo en Sistemas o Afines (30754),Colombia,Bancolombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Software, Carreras Afines (36101)",Colombia,Bancolombia
Especialista de Bases de Datos - SQL Server y MongoBD,"Medellín, Antioquia, Colombia",E-Global S.A.
Coordinador Empresarial y Oficial,"Bogota, D.C., Capital District, Colombia",Banco Agrario de Colombia
Ingeniero de Datos,"Medellin, Antioquia, Colombia",Banco Unión
Practicante de Automatización,"Sabaneta, Antioquia, Colombia",Holcim ABS
Ingeniero/a de Datos de Logística y Distribución (Junior),Colombia,Bancolombia
Gerente Nacional de Riesgo de Mercado y Liquidez,"Bogota, D.C., Capital District, Colombia",Banco Agrario de Colombia
Jr Web Developer,"Bogota, D.C., Capital District, Colombia",ABCW Global
"Analista infraestructura, informática","Bogota, D.C., Capital District, Colombia",FUNDACION UNIVERSITARIA UNINPAHU
Analista de Tecnología UX - Colombia,Colombia,Rawson BPO
