title,location,company
Auditor de Sistemas,"Bogota, D.C., Capital District, Colombia",ReclutaPro Colombia
"Aprendiz Universitario en Ingeniería de Software, Ingeniería en Analítica de datos, Afines (35639)",Colombia,Bancolombia
"Aprendiz Universitario en Ingenieria de Sistemas, Informática o Industrial (37048)",Colombia,Bancolombia
Tecnólogo en sistemas- Medellin,"Medellin, Antioquia, Colombia",Soluciones Inmediatas S.A.S
Analista Jr de continuidad de negocio,"Bogota, D.C., Capital District, Colombia",Ualá
aprendiz tecnico o tecnologo etapa poductiva área informatica urgente,"Bogota, D.C., Capital District, Colombia",ManpowerGroup
20755-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
Tecnico en sistemas con exp en mesa de ayuda / soporte técnico - Bogotá,"Bogota, D.C., Capital District, Colombia",Dharmachakra
Analista Soporte Tecnico,"Medellín, Antioquia, Colombia",Ofimática S.A.
Auxiliar Administrativa sector Tecnologia e Informatica - Bogotá Urgente,"Bogota, D.C., Capital District, Colombia",ManpowerGroup
Auditor TI,"Bogota, D.C., Capital District, Colombia",Joadja Distillery
Ingeniero de Datos,"Medellin, Antioquia, Colombia",Banco Unión
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36582)",Colombia,Bancolombia
Practicante Universitario 2024 - Primer semestre (Perfiles Digitales),"Bogota, D.C., Capital District, Colombia",Tigo Colombia
Practicante de Mejora Continua,"Sabaneta, Antioquia, Colombia",Holcim ABS
Solicitud 2023-29 / Ingeniero Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Michael Page
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35595)",Colombia,Bancolombia
Scrum Master - Presencial,"Bogota, D.C., Capital District, Colombia",SQDM-LATAM
Analista de soporte técnico - Mesa de Ayuda,"Medellín, Antioquia, Colombia",E-Global S.A.
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35581)",Colombia,Bancolombia
Analista Bi Junior Bogotá,"Bogota, D.C., Capital District, Colombia",Tuplex EOOD (Туплекс ЕООД)
Analista de T.I. Microsoft Dynamics - SQL.,"Medellín, Antioquia, Colombia",E-Global S.A.
Técnico en sistemas o informatica / con o sin experiencia laboral,"Bogota, D.C., Capital District, Colombia",(GSH) Grupo Soluciones Horizonte
Especialización en Transformación Digital y Analítica de Datos,"Puerto Bogotá, Cundinamarca, Colombia",Corporación Unificada Nacional de Educación Superior CUN
Docente de Informática,"Bogota, D.C., Capital District, Colombia",ReclutaPro Colombia
Coordinador Empresarial y Oficial,"Bogota, D.C., Capital District, Colombia",Banco Agrario de Colombia
"Analista de Información 1 año de Experiencia, Excel Avanzado. Bogotá.","Bogota, D.C., Capital District, Colombia",Eficacia
Desarrollador web,"Cali, Valle del Cauca, Colombia",ManpowerGroup
Profesional Operativo Depósitos Especiales,"Bogota, D.C., Capital District, Colombia",Banco Agrario de Colombia
Auditor de Sistemas,"Bogota, D.C., Capital District, Colombia",ReclutaPro Colombia
Analista seguridad TI (monitoreo),"Medellin, Antioquia, Colombia",POSTOBON S.A.
Analista Mesa de Servicio,"Barbosa, Antioquia, Colombia",Grupo Réditos
Aprendiz de Sistemas o Informática - Carrera técnica o tecnología,"Cali, Valle del Cauca, Colombia",COOMEVA
DIRECTOR DE IT (SECTOR FINTECH),"Bogota, D.C., Capital District, Colombia",ACIERTA HEADHUNTER
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36097)",Colombia,Bancolombia
Docente Informatica/Sistemas,"Cali, Valle del Cauca, Colombia",Colegio Ecológico Scout
20806-Analista Soporte TIC Soporte Nivel 2,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
Analista Junior de Proyectos Tecnología,"Palmira, Valle del Cauca, Colombia",Organización Carvajal
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"San José del Guaviare, Guaviare, Colombia","Seguros, tendencias y riesgos SURA"
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36861)",Colombia,Bancolombia
Agente de Mesa de Servicio Basic,"Barranquilla, Atlántico, Colombia",GBM
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Bucaramanga, Santander, Colombia","Seguros, tendencias y riesgos SURA"
20756-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
21002-Técnico de Soporte nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
20451-Líder de Soporte TIC,"Bogota, D.C., Capital District, Colombia",Magneto Empleos
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Software, Carreras Afines (36101)",Colombia,Bancolombia
Auxiliar de sistemas,"Bogota, D.C., Capital District, Colombia",Multiempleos S.A.
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Leticia, Amazonas, Colombia","Seguros, tendencias y riesgos SURA"
Ingeniero de IT – Mesa de ayuda,"Quibdó, Chocó, Colombia",Airplan
Capacitador / formador,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Desarrollador Front-End,"Bogota, D.C., Capital District, Colombia",Andes Global Trading LLC
20756-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
21002-Técnico de Soporte nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
"Aprendiz Universitario en Ingeniería de Sistemas, Industrial, Matemática, Estadística (36865)",Colombia,Bancolombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Software, Carreras Afines (36101)",Colombia,Bancolombia
Desarrollador Web Junior / Bogotá,"Bogota, D.C., Capital District, Colombia",Messina Market & Catering
Analista de soporte técnico - Mesa de Ayuda,"Medellín, Antioquia, Colombia",E-Global S.A.
Auxiliar de sistemas,"Bogota, D.C., Capital District, Colombia",Multiempleos S.A.
Analista seguridad TI (monitoreo),"Medellin, Antioquia, Colombia",POSTOBON S.A.
Técnico/a Apoyo en Servicio (Optrónica),"Comuna 10 - Estadio, Tolima, Colombia",Oesia
Ingeniero de Sistemas,"Medellín, Antioquia, Colombia",E-Global S.A.
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Leticia, Amazonas, Colombia","Seguros, tendencias y riesgos SURA"
Agente de Mesa de Servicio Basic,"Barranquilla, Atlántico, Colombia",GBM
Capacitador / formador,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Especialista en bases de datos y aplicaciones,"Medellín, Antioquia, Colombia",E-Global S.A.
Analista TIC - Profesional recién egresado o estudiante de últimos semestres de Ingeniería de Sistemas o carreras afines / Exp norma ISO 27001,"Bogota, D.C., Capital District, Colombia",ManpowerGroup
Analista TIC - Profesional recién egresado o estudiante de últimos semestres de Ingeniería de Sistemas o carreras afines,"Bogota, D.C., Capital District, Colombia",ManpowerGroup
Técnico de soporte - computo,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Auditor Senior Informático - Pensiones,"Bogota, D.C., Capital District, Colombia",KPMG Colombia
20451-Líder de Soporte TIC,"Bogota, D.C., Capital District, Colombia",Magneto Empleos
"Analista de Información 1 año de Experiencia, Excel Avanzado. Bogotá.","Bogota, D.C., Capital District, Colombia",Eficacia
Docente Lenguajes de Programación - Bogotá CET,"Bogota, D.C., Capital District, Colombia",Colsubsidio
Ingeniero De Soporte De Ti - Sector Hotelero,"Girardot, Cundinamarca, Colombia",Xxxxxxx
Desarrollador - Programador,"Bogota, D.C., Capital District, Colombia",Paysett Corporation Latam SAS
Ingeniero de Datos,"Pereira, Risaralda, Colombia",Banco Unión
Auditor en pruebas de seguridad informática,"Bogota, D.C., Capital District, Colombia",KPMG Colombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35580)",Colombia,Bancolombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Procesos, Carreras Afines (35836)",Colombia,Bancolombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Afines (36067)",Colombia,Bancolombia
Ingeniero de Datos,"Cali, Valle del Cauca, Colombia",Banco Unión
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Software, Carreras Afines (35848)",Colombia,Bancolombia
Asistente comercial,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Scrum Master - Presencial,"Bogota, D.C., Capital District, Colombia",SQDM-LATAM
TECNICO EN SISTEMAS - GALAPA,"Galapa, Atlántico, Colombia",Gestión Informática y Tecnológica de Colombia GIT S.A.S
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Barranquilla, Atlántico, Colombia","Seguros, tendencias y riesgos SURA"
Docente de Matemáticas e Informática,"Cúcuta, Norte de Santander, Colombia",Colegio La Salle - Cúcuta
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Perímetro Urbano Ibagué, Tolima, Colombia","Seguros, tendencias y riesgos SURA"
Analista de T.I. Microsoft Dynamics - SQL.,"Medellín, Antioquia, Colombia",E-Global S.A.
Practicante Tecnología,"Bogota, D.C., Capital District, Colombia",Analitica SAS
Desarrollador Web e Integración.,"Bogota, D.C., Capital District, Colombia",maas App
Analista de Datos-BI,Colombia,Periferia IT Group
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Valledupar, Cesar, Colombia","Seguros, tendencias y riesgos SURA"
Analista de Procesos de ITIL,"Medellín, Antioquia, Colombia",E-Global S.A.
Analista en inteligencia de mercados y datos,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Técnico/a Apoyo en Servicio (Optrónica),"Comuna 10 - Estadio, Tolima, Colombia",Oesia
Líder De Proyectos - Ingeniero de Proyectos,"Medellín, Antioquia, Colombia",E-Global S.A.
Arquitecto de Soluciones - Colombia,Colombia,SETI S.A.S
Profesional Senior TI en Gestión Documental Sector Bancario - Bogotá D.C,"Bogota, D.C., Capital District, Colombia",Dharmachakra
Product Manager TECH,"Puerto Rico, Meta, Colombia",Connect
Aprendiz Universitario en ingeniería de Sistemas o Ingeniería Informática (35191),Colombia,Bancolombia
Analista TIC - Profesional recién egresado o estudiante de últimos semestres de Ingeniería de Sistemas o carreras afines / Exp norma ISO 27001,"Bogota, D.C., Capital District, Colombia",ManpowerGroup
auxiliar contable,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Analista Mesa de Servicio,"Bello, Antioquia, Colombia",Grupo Réditos
"Técnico, Tecnólogo o Estudiante de últimos semestre en Informática, Sistemas, Software o afines","Bogota, D.C., Capital District, Colombia",Messina Market & Catering
Ingeniero/a,"Barranquilla, Atlántico, Colombia",Metamorfosis Seleccionamos Talento Comercial
Ingeniero de proyectos agiles,"Bogota, D.C., Capital District, Colombia",Colfondos S.A.
Desarrollador Web e Integración.,"Bogota, D.C., Capital District, Colombia",maas App
Tecnico en sistemas con exp en mesa de ayuda / soporte técnico - Bogotá,"Bogota, D.C., Capital District, Colombia",Dharmachakra
Ingeniero de Datos,"Barranquilla, Atlántico, Colombia",Banco Unión
Tester y Documentador,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Analista de Seguridad Informática Nivel 1,"Bogota, D.C., Capital District, Colombia",Mercanet SAS
Analista de bases de Datos Microsoft Dynamics - SQL.,"Medellín, Antioquia, Colombia",E-Global S.A.
Asistente comercial,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Técnico QA Tester Junior - Home Office,"Bogota, D.C., Capital District, Colombia",Esinergia SAS
Analista de sistemas e infraestructura - Medellin,"Medellin, Antioquia, Colombia",Soluciones Inmediatas S.A.S
"Profesional senior gestión logística y documental (mínimo 3 años de experiencia), sector bancario - Bogotá","Bogota, D.C., Capital District, Colombia",Dharmachakra
ETL ADF Developer (PL489),Colombia,Paralucent
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Popayán, Cauca, Colombia","Seguros, tendencias y riesgos SURA"
Ingeniero/a de T.I.,"Barranquilla, Atlántico, Colombia",E-Global S.A.
Tecnico de soporte- Python,"Palmira, Valle del Cauca, Colombia",Organización Carvajal
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Medellin, Antioquia, Colombia","Seguros, tendencias y riesgos SURA"
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36859)",Colombia,Bancolombia
Ingeniero/a de Infraestructura en Procesos TI (Semi Senior),Colombia,Bancolombia
Ingeniero de Datos,"Bogota, D.C., Capital District, Colombia",Banco Unión
aprendiz tecnico o tecnologo etapa poductiva área informatica urgente,"Bogota, D.C., Capital District, Colombia",ManpowerGroup
Arquitecto de Soluciones - Colombia,Colombia,SETI S.A.S
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35574)",Colombia,Bancolombia
Analista de Pruebas,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Analista de sistemas - Medellín,"Medellín, Antioquia, Colombia",Eficacia
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,Cúcuta Metropolitan Area,"Seguros, tendencias y riesgos SURA"
Líder De Proyectos - Ingeniero de Proyectos,"Medellín, Antioquia, Colombia",E-Global S.A.
Tecnólogo en desarrollo de Software o Sistemas,"Cali, Valle del Cauca, Colombia",Branova Limited
Aprendiz Técnico o Tecnólogo en Sistemas o Afines (30754),Colombia,Bancolombia
Analista de Desarrollo SQL Junior,"Medellín, Antioquia, Colombia",Complementos Humanos
