Title,Location,Company
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Neiva, Huila, Colombia","Seguros, tendencias y riesgos SURA"
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Quibdó, Chocó, Colombia","Seguros, tendencias y riesgos SURA"
"Técnico, Tecnólogo o Profesional en Informática, Sistemas, Software o afines","Bogota, D.C., Capital District, Colombia",Messina Market & Catering
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Pereira, Risaralda, Colombia","Seguros, tendencias y riesgos SURA"
Analista de Sistemas,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Asesor de soporte software,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Estadística (35852)",Colombia,Bancolombia
21002-Técnico de Soporte nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
Técnico/a Apoyo en Servicio (Optrónica),"Comuna 10 - Estadio, Tolima, Colombia",Oesia
Capacitador organizacional,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Analista TIC - Profesional recién egresado o estudiante de últimos semestres de Ingeniería de Sistemas o carreras afines,"Bogota, D.C., Capital District, Colombia",MANPOWER PROFESSIONAL LTDA
Tu primer empleo en Google Cloud,"Sevilla, Valle del Cauca, Colombia",Accenture Colombia
Auxiliar de sistemas,"Bogota, D.C., Capital District, Colombia",Multiempleos S.A.
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35574)",Colombia,Bancolombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Afines (35575)",Colombia,Bancolombia
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35600)",Colombia,Bancolombia
Analista de Bases de Datos - Especialista en Bases de Datos,"Medellín, Antioquia, Colombia",E-Global S.A.
Ingeniero/a de T.I.,"Barranquilla, Atlántico, Colombia",E-Global S.A.
Especialista de Bases de Datos - SQL Server y MongoBD,"Medellín, Antioquia, Colombia",E-Global S.A.
Jr Web Developer,"Bogota, D.C., Capital District, Colombia",ABCW Global
Solicitud 2023-29 / Ingeniero Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Michael Page
"Blue Journey, programa de estudiantes Técnicos 1er Sem 2024 Colombia","Bogota, D.C., Capital District, Colombia",IBM
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Procesos, Carreras Afines (35836)",Colombia,Bancolombia
Ingeniero/a,"Barranquilla, Atlántico, Colombia",Metamorfosis Seleccionamos Talento Comercial
Analista Junior de Proyectos Tecnología,"Palmira, Valle del Cauca, Colombia",Organización Carvajal
Gestor(a) de tecnología.,"Medellin, Antioquia, Colombia",Nutresa
Ing Centro Servicio TI - Pool de Talento,Colombia,bvc-Bolsa de Valores de Colombia S.A.
Auditor TI,"Bogota, D.C., Capital District, Colombia",Joadja Distillery
Asistente Técnico de Programa para Soluciones Digitales,"Bogota, D.C., Capital District, Colombia",World Food Programme
"Analista de Información 1 año de Experiencia, Excel Avanzado. Bogotá.","Bogota, D.C., Capital District, Colombia",Eficacia
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Cartagena, Bolívar, Colombia","Seguros, tendencias y riesgos SURA"
Analista TIC - Profesional recién egresado o estudiante de últimos semestres de Ingeniería de Sistemas o carreras afines / Exp norma ISO 27001,"Bogota, D.C., Capital District, Colombia",MANPOWER PROFESSIONAL LTDA
Analista Mesa de Servicio,"Medellin, Antioquia, Colombia",Grupo Réditos
DIRECTOR DE IT (SECTOR FINTECH),"Bogota, D.C., Capital District, Colombia",ACIERTA HEADHUNTER
Asistente comercial,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35633)",Colombia,Bancolombia
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Villavicencio, Meta, Colombia","Seguros, tendencias y riesgos SURA"
Analista de Pruebas,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Ingeniero de Datos,"Cali, Valle del Cauca, Colombia",Banco Unión
Analista de Seguridad Informatica,"Medellín, Antioquia, Colombia",Agaval S.A.
Gerente de cuenta banca oficial - Regional Occidente,"Cali, Valle del Cauca, Colombia",Banco Agrario de Colombia
ODI Ingeniero de Datos Junior,"Bogota, D.C., Capital District, Colombia",NEORIS
TECNICO EN SISTEMAS,"Bogota, D.C., Capital District, Colombia",IT SISTESMAS Y SOLUCIONES SAS
Desarrollador Wordpress // modalidad remota,"Bogota, D.C., Capital District, Colombia",BRM S.A.S
Analista de Sistemas de Información,"Bogota, D.C., Capital District, Colombia",GHL Hoteles
Operational and Fraud Risk Analyst JR,"Bogota, D.C., Capital District, Colombia",Ualá
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,Cúcuta Metropolitan Area,"Seguros, tendencias y riesgos SURA"
Ingeniero de implementación,"Perímetro Urbano Medellín, Antioquia, Colombia",Arquitectura del Talento
Jefe de tecnología experiencia en transformación digital,"Yumbo, Valle del Cauca, Colombia",Soluciones Inmediatas S.A.S
Profesores/as en Informática y Tecnología Clases Online,"Bogota, D.C., Capital District, Colombia",Apprentus Ltd
"Ingeniero Sistemas, eléctrico o afines - Líder Técnico","Bogota, D.C., Capital District, Colombia",KRESTON COLOMBIA
Diseñador Web Gráfico,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Administrador de Ciberseguridad Junior,"Bogota, D.C., Capital District, Colombia",TIVIT LATAM
APRENDIZ SISTEMAS,"Medellín, Antioquia, Colombia",Ferrosvel S.A.S
Ing Centro Servicio TI - Pool de Talento,Colombia,bvc-Bolsa de Valores de Colombia S.A.
Jefe de tecnología experiencia en transformación digital,"Palmira, Valle del Cauca, Colombia",Soluciones Inmediatas S.A.S
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Cartagena, Bolívar, Colombia","Seguros, tendencias y riesgos SURA"
Practicante Universitario 2024 - Primer semestre (Perfiles Digitales),"Bogota, D.C., Capital District, Colombia",Tigo Colombia
Analista Conectividad y Seguridad,"Medellin, Antioquia, Colombia",ARUS Oficial
Líder De Proyectos - Ingeniero de Proyectos,"Medellín, Antioquia, Colombia",E-Global S.A.
Capacitador organizacional,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
INGENIERO ASEGURAMIENTO DE CALIDAD (QA),"Bogota, D.C., Capital District, Colombia",ACIERTA HEADHUNTER
Especialista de Bases de Datos - SQL Server y MongoBD,"Medellín, Antioquia, Colombia",E-Global S.A.
Coordinador Empresarial y Oficial,"Bogota, D.C., Capital District, Colombia",Banco Agrario de Colombia
Analista Mesa de Servicio,"Bello, Antioquia, Colombia",Grupo Réditos
Analista Implementación Soluciones - Conectividad,"Cali, Valle del Cauca, Colombia",ARUS Oficial
"Técnico, Tecnólogo o Profesional en Informática, Sistemas, Software o afines","Bogota, D.C., Capital District, Colombia",Messina Market & Catering
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Valledupar, Cesar, Colombia","Seguros, tendencias y riesgos SURA"
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Quibdó, Chocó, Colombia","Seguros, tendencias y riesgos SURA"
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Manizales, Caldas, Colombia","Seguros, tendencias y riesgos SURA"
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática (35254)",Colombia,Bancolombia
Ingeniero/a,"Barranquilla, Atlántico, Colombia",Metamorfosis Seleccionamos Talento Comercial
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Bucaramanga, Santander, Colombia","Seguros, tendencias y riesgos SURA"
Administración de base de datos (Informix),Colombia,FactorIT
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Barranquilla, Atlántico, Colombia","Seguros, tendencias y riesgos SURA"
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Tunja, Boyacá, Colombia","Seguros, tendencias y riesgos SURA"
Auxiliar De Centro De Cómputo,"Medellin, Antioquia, Colombia",Leonisa S.A.
Analista TIC - Profesional recién egresado o estudiante de últimos semestres de Ingeniería de Sistemas o carreras afines,"Bogota, D.C., Capital District, Colombia",MANPOWER PROFESSIONAL LTDA
Ingeniero de implementación,"Perímetro Urbano Medellín, Antioquia, Colombia",Arquitectura del Talento
PRACTICANTE DE INFORMATICA,"Cali, Valle del Cauca, Colombia",TRAVEL CENTER GROUP SAS
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35577)",Colombia,Bancolombia
Analista Bi Junior Bogotá,"Bogota, D.C., Capital District, Colombia",Tuplex EOOD (Туплекс ЕООД)
"Ingeniero de Sistemas, Auditoría de tecnologías de la información","Bucaramanga, Santander, Colombia",Financiera Comultrasan
20806-Analista Soporte TIC Soporte Nivel 2,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35581)",Colombia,Bancolombia
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,Colombia,"Seguros, tendencias y riesgos SURA"
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Yopal, Casanare, Colombia","Seguros, tendencias y riesgos SURA"
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35595)",Colombia,Bancolombia
Auditor de Sistemas,"Bogota, D.C., Capital District, Colombia",ReclutaPro Colombia
Business Intelligence,Colombia,Lulo bank
Ingeniero de Datos,"Pereira, Risaralda, Colombia",Banco Unión
Analista de seguridad informatica // Analista de seguridad de la información - Minimo 6 meses de experiencia certificada,"Bogota, D.C., Capital District, Colombia",BRM S.A.S
Analista de Procesos de ITIL,"Medellín, Antioquia, Colombia",E-Global S.A.
Tecnico de Soporte en Sistemas Informaticos,"Cali, Valle del Cauca, Colombia",WFM INFORMATICA Y TECNOLOGIA SAS
Practicante Tecnología,"Bogota, D.C., Capital District, Colombia",Analitica SAS
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Santa Marta, Magdalena, Colombia","Seguros, tendencias y riesgos SURA"
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35576)",Colombia,Bancolombia
Analista de soporte técnico - Mesa de Ayuda,"Medellín, Antioquia, Colombia",E-Global S.A.
Coordinador Empresarial y Oficial,"Bogota, D.C., Capital District, Colombia",Banco Agrario de Colombia
Jefe de tecnología experiencia en transformación digital,"Jamundí, Valle del Cauca, Colombia",Soluciones Inmediatas S.A.S
"Analista de formación, capacitación y desarrollo","Bogota, D.C., Capital District, Colombia",Tecnología Informática
Desarrollador de Base de Datos,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Coordinador Talento Humano Regional Sur,"Neiva, Huila, Colombia",Banco Agrario de Colombia
Tester y Documentador,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Analista de procesos y sistemas de información | Sabaneta Ant,"Sabaneta, Antioquia, Colombia",Organizacion Corona
"Backend Python + Machine Learning, Fundacion Tu Clase, Tu País",Colombia,matteria
Analista de Soporte Técnico - SQL,"Medellín, Antioquia, Colombia",E-Global S.A.
Analista de Soporte - Colombia,"Medellín, Antioquia, Colombia",Doctus Tech SAS
Aprendiz Técnico o Tecnólogo en Sistemas o Afines (30754),Colombia,Bancolombia
Analista De Calidad Software,"Medellin, Antioquia, Colombia",ARUS Oficial
20755-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
Analista Administrativo,"Bogota, D.C., Capital District, Colombia",Staffing de Colombia
Analista de bases de Datos Microsoft Dynamics - SQL.,"Medellín, Antioquia, Colombia",E-Global S.A.
"Analista de Información 1 año de Experiencia, Excel Avanzado. Bogotá.","Bogota, D.C., Capital District, Colombia",Eficacia
Capacitador / formador,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Project Manager,"Bogota, D.C., Capital District, Colombia",Michael Page
Arquitecto(a) de Software,"Medellin, Antioquia, Colombia",Nutresa
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35580)",Colombia,Bancolombia
Profesional en desarrollo,"Medellin, Antioquia, Colombia",ISA Interconexión Eléctrica S.A. E.S.P.
Consultor Funcional Sector Banca,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Aprendiz de Sistemas o Informática - Carrera técnica o tecnología,"Cali, Valle del Cauca, Colombia",COOMEVA
Analista De Aplicaciones Y Monitoreo - Informatica,"Bogota, D.C., Capital District, Colombia",Soporte Sa
Analista De Aplicaciones Y Monitoreo - Informatica,"Girardot, Cundinamarca, Colombia",Soporte Sa
Coordinador Empresarial y Oficial,"Bogota, D.C., Capital District, Colombia",Banco Agrario de Colombia
Técnico de soporte computo,"Bogota, D.C., Capital District, Colombia",Tecnología Informática
Analista Junior QA,"Bogota, D.C., Capital District, Colombia",CCxC – Consulting Center for Competitiveness
Tecnico de Soporte en Sistemas Informaticos,"Cali, Valle del Cauca, Colombia",WFM INFORMATICA Y TECNOLOGIA SAS
Docente Informatica/Sistemas,"Cali, Valle del Cauca, Colombia",Colegio Ecológico Scout
Data Quality Analyst,"Bogota, D.C., Capital District, Colombia","Bluetab América, an IBM Company"
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Cali, Valle del Cauca, Colombia","Seguros, tendencias y riesgos SURA"
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35342)",Colombia,Bancolombia
Ingeniero de implementación,"Perímetro Urbano Medellín, Antioquia, Colombia",Arquitectura del Talento
Analista de bases de Datos Microsoft Dynamics - SQL.,"Medellín, Antioquia, Colombia",E-Global S.A.
Desarrollador Front-End,"Bogota, D.C., Capital District, Colombia",Andes Global Trading LLC
20756-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
Analista Conectividad y Seguridad,"Medellin, Antioquia, Colombia",ARUS Oficial
Desarollador WEB,"Bogota, D.C., Capital District, Colombia",ADA S.A.
Pedagogo de Convenio JEC- Ciencia y Tecnologia,"Bogota, D.C., Capital District, Colombia",Compensar
Analista De Aplicaciones Y Monitoreo - Informatica,"Bogota, D.C., Capital District, Colombia",Soporte Sa
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Software, Carreras Afines (35848)",Colombia,Bancolombia
Analista de Seguridad Informática Nivel 1,"Bogota, D.C., Capital District, Colombia",Mercanet SAS
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Villavicencio, Meta, Colombia","Seguros, tendencias y riesgos SURA"
Analista Jr de continuidad de negocio,"Bogota, D.C., Capital District, Colombia",Ualá
"Ingeniero de Sistemas, Auditoría de tecnologías de la información","Bucaramanga, Santander, Colombia",Financiera Comultrasan
"Gestor de Problemas TI - ITIL - Bogotá, Colombia","Bogota, D.C., Capital District, Colombia",Kibernum
Jefe de tecnología experiencia en transformación digital,"Cali, Valle del Cauca, Colombia",Soluciones Inmediatas S.A.S
20757-Técnico de Soporte Nivel 1,"Bogota, D.C., Capital District, Colombia",Colombiana de Comercio / Corbeta / Alkosto S.A
20451-Líder de Soporte TIC,"Bogota, D.C., Capital District, Colombia",Magneto Empleos
"Aprendiz Universitario en Ingeniería Financiera, Ingeniería de Sistemas, Carreras Afines (35564)",Colombia,Bancolombia
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Pasto, Nariño, Colombia","Seguros, tendencias y riesgos SURA"
Profesores/as en Informática y Tecnología Clases Online,"Bogota, D.C., Capital District, Colombia",Apprentus Ltd
Ingeniero de Datos,"Bogota, D.C., Capital District, Colombia",Banco Unión
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (36582)",Colombia,Bancolombia
Recepcionista,"Bogota, D.C., Capital District, Colombia",Grupo Alianza - Gestión Efectiva del Talento Humano
Ingeniero de Datos,"Barranquilla, Atlántico, Colombia",Banco Unión
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería Informática, Carreras Afines (35579)",Colombia,Bancolombia
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Cartagena, Bolívar, Colombia","Seguros, tendencias y riesgos SURA"
Especialista en bases de datos y aplicaciones,"Medellín, Antioquia, Colombia",E-Global S.A.
PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,"Vichada, Colombia","Seguros, tendencias y riesgos SURA"
AUXILIAR DE SOPORTE CALI - 49785,"Cali, Valle del Cauca, Colombia",Magneto Empleos
Analista de sistemas - Medellín,"Medellín, Antioquia, Colombia",Eficacia
GESTOR DE SOPORTE Y TECNOLOGÍA,"Bogota, D.C., Capital District, Colombia",UNIR - La Universidad en Internet
Ingeniero de Datos,"Medellin, Antioquia, Colombia",Banco Unión
"Aprendiz Universitario en Ingeniería de Sistemas, Ingeniería de Software, Carreras Afines (35850)",Colombia,Bancolombia
Jefe de tecnología experiencia en transformación digital,"Yumbo, Valle del Cauca, Colombia",Soluciones Inmediatas S.A.S
Desarrollador(a) Java Labor en Remoto,"Cali, Valle del Cauca, Colombia",COOMEVA
Docente de Informática,"Bogota, D.C., Capital District, Colombia",ReclutaPro Colombia
INGENIERO ASEGURAMIENTO DE CALIDAD (QA),"Bogota, D.C., Capital District, Colombia",ACIERTA HEADHUNTER
Gerente Zonal Cesar,"Barranquilla, Atlántico, Colombia",Banco Agrario de Colombia
Analista de Desarrollo SQL Junior,"Medellín, Antioquia, Colombia",Complementos Humanos
Tecnólogo en desarrollo de Software o Sistemas,"Cali, Valle del Cauca, Colombia",Branova Limited
Gerente Zonal Cesar,"Valledupar, Cesar, Colombia",Banco Agrario de Colombia
Analista TIC - Profesional recién egresado o estudiante de últimos semestres de Ingeniería de Sistemas o carreras afines,"Bogota, D.C., Capital District, Colombia",MANPOWER PROFESSIONAL LTDA
"Aprendiz Universitario en Ingeniería de Software, Ingeniería en Analítica de datos, Afines (35639)",Colombia,Bancolombia
Analista de seguridad informatica // Analista de seguridad de la información - Minimo 6 meses de experiencia certificada,"Bogota, D.C., Capital District, Colombia",BRM S.A.S
